create ,"① を創り出す,② を飾る,③ に従う,④ を支配する",1
increase ,"① 適応する,② 増加する,③ を減らす,④ 比較する",2
improve ,"① を含む,② を向上させる,③ を見なす,④ を心配する",2
mean ,"① を意味する,② に気がつく,③ を思い出す,④ を解決する",1
own ,"① を決意する,② を所有している,③ 存在する,④ かしらと思う",2
include ,"① を向上させる,② を関連づける,③ を心配する,④ を含む",4
consider ,"① を見なす,② を供給する,③ を励ます,④ を向上させる",1
allow ,"① を許す,② を生産する,③ を供給する,④ を含む",1
suggest ,"① を減らす,② を提案する,③ を頼る,④ を存在する",2
produce ,"① を生産する,② を関連づける,③ を向上させる,④ を見なす",1
decide ,"① を決める,② を述べる,③ を生産する,④ を建てる",1
offer ,"① とわかる,② を提供する,③ を管理する,④ と主張する",2
require ,"① を要求する,② を心配する,③ を許す,④ を生産する",1
share ,"① について述べる,② を共有する,③ を提案する,④ （費用）がかかる",2
store ,"① に強いる,② を保存する,③ と主張する,④ を提供する",2
tend ,"① 傾向がある,② 捜す,③ 頼る,④ 苦しむ",1
concern ,"① （受身形で）心配している,② （受身形で）見なしている,③ （受身形で）供給している,④ （受身 形で）含む",1
describe,"① を生産する,② について述べる,③ のように見える,④ 意見が一致する",2
involve ,"① を向上させる,② を比較する,③ を関与させる,④ を提案する",3
reduce ,"① を励ます,② について述べる,③ を減らす,④ を（…に）加える",3
design ,"① を宣言する,② を設計する,③ を予約する,④ を取り消す",2
force ,"① に強いる,② に影響を及ぼす,③ に気づく,④ を避ける",1
limit ,"① に印を付ける,② を制限［規制］する,③ を運ぶ,④ を展示する",2
bear ,"① に強いる,② に耐える,③ を共有する,④ を許す",2
affect ,"① を共有する,② に気づく,③ に影響を及ぼす,④ を励ます",3
deal ,"① （～ withで）が増加する,② （～ withで）と気づく,③ （～ withで）に要求する,④ （～ withで） を処理する",4
avoid ,"① を避ける,② を比較する,③ とわかる,④ に気づく",1
relate ,"① を関連づける,② を向上させる,③ を生産する,④ を供給する",1
realize ,"① （費用）がかかる,② に気づく,③ と主張する,④ を提案する",2
encourage ,"① について述べる,② を（…に）加える,③ を要求する,④ を奨励する",4
compare ,"① を要求する,② を（…に）加える,③ を比較する,④ を励ます",3
measure ,"① を運転する,② を飾る,③ を計算する,④ を測る",4
exist ,"① 要求する,② 存在する,③ 含む,④ 生産する",2
mark ,"① を管理する,② を選ぶ,③ に印をつける,④ を収集する",3
challenge ,"① に異議を唱える,② を管理する,③ に影響を及ぼす,④ を励ます",1
depend ,"① 頼る,② 傾向がある,③ 減らす,④ 適応する",1
object ,"① と主張する,② に強いる,③ 生き延びる,④ 反対する",4
demand ,"① に気づく,② とわかる,③ を保存する,④ を要求する",4
found ,"① 滞在する,② に気がつく,③ を設立する,④ を観察する",3
complete ,"① を完成させる,② を処理する,③ と主張する,④ を保存する",1
idea ,"① 財布,② 考え,③ 余地,④ 運",2
accord ,"① （社会の）慣習,② 一致,③ 材料,④ 数字",2
company ,"① 談話室,② 会社,③ 意見,④ 議会",2
interest ,"① 音,② 証拠,③ 興味,④ 問題",3
research ,"① 研究,② 学者,③ 科学,④ 文化",1
cause ,"① 原因,② 材料,③ 権利,④ 個人",1
reason ,"① 論理,② 知識,③ 理由,④ 結果",3
effect ,"① 科学技術,② 質,③ 著者,④ 影響",4
influence ,"① 影響（力）,② 質,③ 環境,④ 価値",1
situation ,"① 質,② 状況,③ 機会,④ 利益",2
environment ,"① 著者,② 利益,③ 機会,④ 環境",4
skill ,"① 技能,② 状況,③ 見解,④ 科学技術",1
matter ,"① 事柄,② 価値,③ 技能,④ 見解",1
view ,"① 利益,② 質,③ 価値,④ 見解",4
value ,"① 質,② 機会,③ 著者,④ 価値",4
species ,"① 数字,② （生物の）種,③ 主張,④ 証拠",2
